"tab_code","表章項目","cat01_code","銘柄(2020年基準）","area_code","地域","time_code","時間軸（月）","unit","value"
"10","価格","02134","2134 ぎょうざ(外食)","03201","盛岡市","2020000505","2020年5月","","382"
"10","価格","02134","2134 ぎょうざ(外食)","03201","盛岡市","2020000404","2020年4月","","382"
"10","価格","02134","2134 ぎょうざ(外食)","03201","盛岡市","2020000303","2020年3月","","382"
"10","価格","02134","2134 ぎょうざ(外食)","03201","盛岡市","2020000202","2020年2月","","382"
"10","価格","02134","2134 ぎょうざ(外食)","03201","盛岡市","2020000101","2020年1月","","382"
"10","価格","02134","2134 ぎょうざ(外食)","04100","仙台市","2020001212","2020年12月","","320"
"10","価格","02134","2134 ぎょうざ(外食)","04100","仙台市","2020001111","2020年11月","","320"
"10","価格","02134","2134 ぎょうざ(外食)","04100","仙台市","2020001010","2020年10月","","320"
"10","価格","02134","2134 ぎょうざ(外食)","04100","仙台市","2020000909","2020年9月","","320"
"10","価格","02134","2134 ぎょうざ(外食)","04100","仙台市","2020000808","2020年8月","","320"
"10","価格","02134","2134 ぎょうざ(外食)","04100","仙台市","2020000707","2020年7月","","320"
"10","価格","02134","2134 ぎょうざ(外食)","04100","仙台市","2020000606","2020年6月","","320"
"10","価格","02134","2134 ぎょうざ(外食)","04100","仙台市","2020000505","2020年5月","","320"
"10","価格","02134","2134 ぎょうざ(外食)","04100","仙台市","2020000404","2020年4月","","320"
"10","価格","02134","2134 ぎょうざ(外食)","04100","仙台市","2020000303","2020年3月","","320"
"10","価格","02134","2134 ぎょうざ(外食)","04100","仙台市","2020000202","2020年2月","","320"
"10","価格","02134","2134 ぎょうざ(外食)","04100","仙台市","2020000101","2020年1月","","321"
"10","価格","02134","2134 ぎょうざ(外食)","05201","秋田市","2020001212","2020年12月","","390"
"10","価格","02134","2134 ぎょうざ(外食)","05201","秋田市","2020001111","2020年11月","","390"
"10","価格","02134","2134 ぎょうざ(外食)","05201","秋田市","2020001010","2020年10月","","390"
"10","価格","02134","2134 ぎょうざ(外食)","05201","秋田市","2020000909","2020年9月","","390"
